pid,label,total_events,open_count,create_count,delete_count,encrypt_count,unique_files,open_ratio,delete_ratio,encrypt_ratio,events_per_ts
545371,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.12545454545454546
545373,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
545382,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.10681114551083591
545383,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
545394,0,206,142,0,0,0,88,0.6893203883495146,0.0,0.0,6.242424242424242
545395,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553115,0,584,584,0,0,0,499,1.0,0.0,0.0,36.5
542114,0,171,171,0,0,0,1,1.0,0.0,0.0,0.002217870066536102
546260,0,6,6,0,0,0,2,1.0,0.0,0.0,9.329808738920853e-05
546250,0,28,28,0,0,0,6,1.0,0.0,0.0,0.00037324873028780144
547609,0,20,20,0,0,0,1,1.0,0.0,0.0,0.0002630090869639546
553118,1,439,74,0,0,0,65,0.16856492027334852,0.0,0.0,0.005857316308423061
547400,0,152,152,0,0,0,4,1.0,0.0,0.0,0.002052667116812964
547606,0,19,19,0,0,0,1,1.0,0.0,0.0,0.0002637423653525819
547608,0,19,19,0,0,0,1,1.0,0.0,0.0,0.00026373870434891243
547607,0,19,19,0,0,0,1,1.0,0.0,0.0,0.0002637423653525819
546259,0,12,12,0,0,0,3,1.0,0.0,0.0,0.00017031422975389594
546257,0,14,14,0,0,0,5,1.0,0.0,0.0,0.00022891526864841886
553122,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
553123,0,3,3,0,0,0,3,1.0,0.0,0.0,3.0
553124,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
553125,0,411,411,0,0,0,407,1.0,0.0,0.0,51.375
553126,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
553127,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
553128,0,34,34,0,0,0,34,1.0,0.0,0.0,34.0
553129,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
553130,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
553131,0,20,20,0,0,0,20,1.0,0.0,0.0,20.0
546258,0,11,11,0,0,0,3,1.0,0.0,0.0,0.00015554518587649713
553136,0,34,34,0,0,0,34,1.0,0.0,0.0,34.0
553137,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
553139,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
553141,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
553143,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
553146,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
851,0,162,0,0,0,0,1,0.0,0.0,0.0,0.0023155096265168734
553149,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.0891089108910891
553150,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
380,0,206,206,0,0,0,66,1.0,0.0,0.0,0.002941260458608184
770,0,85,81,0,0,0,14,0.9529411764705882,0.0,0.0,0.0014165722285180988
1,0,36,36,0,0,0,21,1.0,0.0,0.0,0.0005924755603831342
553160,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.11848883800801374
553161,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553167,0,29,29,0,0,0,29,1.0,0.0,0.0,29.0
553171,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.10454545454545454
553172,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553181,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
553182,0,3,3,0,0,0,3,1.0,0.0,0.0,3.0
553183,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
553184,0,411,411,0,0,0,407,1.0,0.0,0.0,51.375
553185,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
553186,0,31,31,0,0,0,31,1.0,0.0,0.0,15.5
553187,0,35,35,0,0,0,35,1.0,0.0,0.0,35.0
553188,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
553189,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
553190,0,25,25,0,0,0,25,1.0,0.0,0.0,25.0
553195,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.09904306220095693
553196,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553197,0,35,35,0,0,0,35,1.0,0.0,0.0,17.5
553198,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
553200,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
553202,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
553204,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
553207,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
553218,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.08668341708542714
553219,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553229,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.08095424325381306
553230,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
541601,0,10,10,0,0,0,2,1.0,0.0,0.0,10.0
553240,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.11590145576707726
553241,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553251,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.08599916909015372
553252,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553262,0,206,142,0,0,0,88,0.6893203883495146,0.0,0.0,1.9074074074074074
553263,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553328,0,585,585,0,0,0,499,1.0,0.0,0.0,36.5625
547609,0,17,17,0,0,0,1,1.0,0.0,0.0,0.0002654590880699563
542114,0,142,142,0,0,0,1,1.0,0.0,0.0,0.002216049190049627
553330,1,330,75,0,0,0,65,0.22727272727272727,0.0,0.0,0.005235685160798998
553331,0,13,13,0,0,0,11,1.0,0.0,0.0,6.5
546260,0,8,8,0,0,0,1,1.0,0.0,0.0,0.0001777382803821373
547400,0,40,40,0,0,0,4,1.0,0.0,0.0,0.002220248667850799
547606,0,16,16,0,0,0,1,1.0,0.0,0.0,0.0002664978846730404
546258,0,6,6,0,0,0,1,1.0,0.0,0.0,0.00011048502927853276
